models=Random WayPoint	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	maps=squarereflect	height=500	width=500	maxspeed=10	rangealgorithms=NullPowerAlgorithm	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
17	0	212	349	7.41	2.13	0
17	1	32	386	6.22	2.78	0
17	2	354	407	8.24	2.83	0
17	3	464	284	8.92	4.93	0
17	4	337	252	7.87	1.36	0
17	5	181	218	8.36	2.01	0
17	6	151	263	5.35	4.83	0
17	7	147	267	7.71	2.73	0
17	8	313	246	7.59	3.71	0
17	9	164	183	6.74	0.05	0
18	0	208	355	7.41	2.13	0
18	1	26	389	6.22	2.78	0
18	2	346	410	8.24	2.83	0
18	3	466	275	8.92	4.93	0
18	4	339	260	7.87	1.36	0
18	5	178	226	8.36	2.01	0
18	6	152	258	5.35	4.83	0
18	7	140	270	7.71	2.73	0
18	8	306	241	7.59	3.71	0
18	9	171	183	6.74	0.05	0
19	0	204	361	7.41	2.13	0
19	1	23	390	6.22	2.78	0
19	2	338	412	8.24	2.83	0
19	3	467	271	8.92	4.93	0
19	4	340	268	7.87	1.36	0
19	5	174	233	8.36	2.01	0
19	6	152	252	5.35	4.83	0
19	7	133	273	7.71	2.73	0
19	8	300	237	7.59	3.71	0
19	9	177	183	6.74	0.05	0
20	0	200	367	7.41	2.13	0
20	1	23	390	6.22	2.78	0
20	2	330	415	8.24	2.83	0
20	3	462	267	6.17	3.82	0
20	4	342	275	7.87	1.36	0
20	5	171	241	8.36	2.01	0
20	6	153	247	5.35	4.83	0
20	7	126	276	7.71	2.73	0
20	8	294	233	7.59	3.71	0
20	9	184	184	6.74	0.05	0
21	0	197	374	7.41	2.13	0
21	1	23	390	6.22	2.78	0
21	2	322	417	8.24	2.83	0
21	3	457	263	6.17	3.82	0
21	4	344	283	7.87	1.36	0
21	5	167	248	8.36	2.01	0
21	6	153	242	5.35	4.83	0
21	7	119	279	7.71	2.73	0
21	8	287	229	7.59	3.71	0
21	9	191	184	6.74	0.05	0
22	0	193	380	7.41	2.13	0
22	1	23	390	6.22	2.78	0
22	2	314	420	8.24	2.83	0
22	3	453	259	6.17	3.82	0
22	4	345	291	7.87	1.36	0
22	5	164	256	8.36	2.01	0
22	6	154	236	5.35	4.83	0
22	7	112	282	7.71	2.73	0
22	8	281	225	7.59	3.71	0
22	9	197	184	6.74	0.05	0
23	0	189	386	7.41	2.13	0
23	1	23	390	6.22	2.78	0
23	2	306	422	8.24	2.83	0
23	3	448	255	6.17	3.82	0
23	4	347	299	7.87	1.36	0
23	5	160	264	8.36	2.01	0
23	6	155	231	5.35	4.83	0
23	7	105	285	7.71	2.73	0
23	8	274	221	7.59	3.71	0
23	9	204	185	6.74	0.05	0
24	0	185	393	7.41	2.13	0
24	1	23	390	6.22	2.78	0
24	2	299	425	8.24	2.83	0
24	3	443	251	6.17	3.82	0
24	4	349	306	7.87	1.36	0
24	5	157	271	8.36	2.01	0
24	6	155	226	5.35	4.83	0
24	7	98	288	7.71	2.73	0
24	8	268	217	7.59	3.71	0
24	9	211	185	6.74	0.05	0
25	0	181	399	7.41	2.13	0
25	1	25	384	6.37	5.09	0
25	2	291	427	8.24	2.83	0
25	3	438	248	6.17	3.82	0
25	4	350	314	7.87	1.36	0
25	5	153	279	8.36	2.01	0
25	6	156	220	5.35	4.83	0
25	7	91	291	7.71	2.73	0
25	8	262	213	7.59	3.71	0
25	9	218	185	6.74	0.05	0
26	0	177	405	7.41	2.13	0
26	1	28	378	6.37	5.09	0
26	2	283	430	8.24	2.83	0
26	3	434	244	6.17	3.82	0
26	4	352	322	7.87	1.36	0
26	5	149	286	8.36	2.01	0
26	6	156	215	5.35	4.83	0
26	7	84	295	7.71	2.73	0
26	8	255	209	7.59	3.71	0
26	9	224	186	6.74	0.05	0
27	0	173	411	7.41	2.13	0
27	1	30	372	6.37	5.09	0
27	2	275	432	8.24	2.83	0
27	3	429	240	6.17	3.82	0
27	4	354	329	7.87	1.36	0
27	5	146	294	8.36	2.01	0
27	6	157	213	5.35	4.83	0
27	7	77	298	7.71	2.73	0
27	8	249	205	7.59	3.71	0
27	9	231	186	6.74	0.05	0
28	0	169	418	7.41	2.13	0
28	1	32	366	6.37	5.09	0
28	2	267	435	8.24	2.83	0
28	3	424	236	6.17	3.82	0
28	4	355	337	7.87	1.36	0
28	5	142	302	8.36	2.01	0
28	6	156	218	5.79	1.65	0
28	7	70	301	7.71	2.73	0
28	8	243	201	7.59	3.71	0
28	9	238	186	6.74	0.05	0
29	0	165	424	7.41	2.13	0
29	1	35	360	6.37	5.09	0
29	2	259	437	8.24	2.83	0
29	3	419	232	6.17	3.82	0
29	4	357	345	7.87	1.36	0
29	5	139	309	8.36	2.01	0
29	6	156	224	5.79	1.65	0
29	7	63	304	7.71	2.73	0
29	8	236	196	7.59	3.71	0
29	9	245	187	6.74	0.05	0
30	0	161	430	7.41	2.13	0
30	1	37	354	6.37	5.09	0
30	2	252	440	8.24	2.83	0
30	3	414	228	6.17	3.82	0
30	4	359	352	7.87	1.36	0
30	5	135	317	8.36	2.01	0
30	6	155	230	5.79	1.65	0
30	7	63	304	7.71	2.73	0
30	8	230	192	7.59	3.71	0
30	9	251	187	6.74	0.05	0
31	0	160	432	7.41	2.13	0
31	1	39	348	6.37	5.09	0
31	2	244	442	8.24	2.83	0
31	3	410	224	6.17	3.82	0
31	4	360	360	7.87	1.36	0
31	5	132	324	8.36	2.01	0
31	6	155	236	5.79	1.65	0
31	7	63	304	7.71	2.73	0
31	8	223	188	7.59	3.71	0
31	9	258	187	6.74	0.05	0
32	0	160	432	7.41	2.13	0
32	1	42	342	6.37	5.09	0
32	2	236	445	8.24	2.83	0
32	3	405	220	6.17	3.82	0
32	4	362	368	7.87	1.36	0
32	5	128	332	8.36	2.01	0
32	6	154	241	5.79	1.65	0
32	7	63	304	7.71	2.73	0
32	8	217	184	7.59	3.71	0
32	9	265	188	6.74	0.05	0
33	0	158	427	5.45	4.29	0
33	1	44	336	6.37	5.09	0
33	2	228	447	8.24	2.83	0
33	3	400	216	6.17	3.82	0
33	4	364	375	7.87	1.36	0
33	5	125	339	8.36	2.01	0
33	6	154	247	5.79	1.65	0
33	7	63	304	7.71	2.73	0
33	8	211	180	7.59	3.71	0
33	9	271	188	6.74	0.05	0
34	0	155	422	5.45	4.29	0
34	1	46	330	6.37	5.09	0
34	2	220	450	8.24	2.83	0
34	3	395	212	6.17	3.82	0
34	4	365	383	7.87	1.36	0
34	5	121	347	8.36	2.01	0
34	6	153	253	5.79	1.65	0
34	7	63	304	7.71	2.73	0
34	8	204	176	7.59	3.71	0
34	9	278	189	6.74	0.05	0
35	0	153	417	5.45	4.29	0
35	1	49	325	6.37	5.09	0
35	2	212	452	8.24	2.83	0
35	3	391	209	6.17	3.82	0
35	4	367	391	7.87	1.36	0
35	5	118	355	8.36	2.01	0
35	6	153	259	5.79	1.65	0
35	7	63	304	7.71	2.73	0
35	8	198	172	7.59	3.71	0
35	9	285	189	6.74	0.05	0
36	0	151	412	5.45	4.29	0
36	1	51	319	6.37	5.09	0
36	2	204	455	8.24	2.83	0
36	3	386	205	6.17	3.82	0
36	4	369	399	7.87	1.36	0
36	5	114	362	8.36	2.01	0
36	6	153	265	5.79	1.65	0
36	7	69	300	6.93	5.71	0
36	8	191	168	7.59	3.71	0
36	9	292	189	6.74	0.05	0
37	0	149	407	5.45	4.29	0
37	1	53	313	6.37	5.09	0
37	2	197	457	8.24	2.83	0
37	3	381	201	6.17	3.82	0
37	4	371	406	7.87	1.36	0
37	5	111	370	8.36	2.01	0
37	6	152	270	5.79	1.65	0
37	7	75	296	6.93	5.71	0
37	8	185	164	7.59	3.71	0
37	9	298	190	6.74	0.05	0
38	0	146	403	5.45	4.29	0
38	1	56	307	6.37	5.09	0
38	2	189	460	8.24	2.83	0
38	3	376	197	6.17	3.82	0
38	4	372	414	7.87	1.36	0
38	5	107	377	8.36	2.01	0
38	6	152	276	5.79	1.65	0
38	7	81	292	6.93	5.71	0
38	8	179	160	7.59	3.71	0
38	9	305	190	6.74	0.05	0
39	0	144	398	5.45	4.29	0
39	1	58	301	6.37	5.09	0
39	2	181	462	8.24	2.83	0
39	3	371	193	6.17	3.82	0
39	4	374	422	7.87	1.36	0
39	5	104	385	8.36	2.01	0
39	6	151	282	5.79	1.65	0
39	7	87	288	6.93	5.71	0
39	8	172	155	7.59	3.71	0
39	9	312	190	6.74	0.05	0
40	0	142	393	5.45	4.29	0
40	1	60	295	6.37	5.09	0
40	2	173	465	8.24	2.83	0
40	3	367	189	6.17	3.82	0
40	4	375	426	7.87	1.36	0
40	5	100	392	8.36	2.01	0
40	6	151	288	5.79	1.65	0
40	7	92	285	6.93	5.71	0
40	8	166	151	7.59	3.71	0
40	9	319	191	6.74	0.05	0
41	0	140	388	5.45	4.29	0
41	1	63	289	6.37	5.09	0
41	2	165	467	8.24	2.83	0
41	3	362	185	6.17	3.82	0
41	4	375	426	7.87	1.36	0
41	5	96	400	8.36	2.01	0
41	6	150	293	5.79	1.65	0
41	7	98	281	6.93	5.71	0
41	8	159	147	7.59	3.71	0
41	9	325	191	6.74	0.05	0
42	0	138	383	5.45	4.29	0
42	1	65	283	6.37	5.09	0
42	2	157	470	8.24	2.83	0
42	3	357	181	6.17	3.82	0
42	4	375	426	7.87	1.36	0
42	5	93	408	8.36	2.01	0
42	6	150	299	5.79	1.65	0
42	7	104	277	6.93	5.71	0
42	8	153	143	7.59	3.71	0
42	9	332	191	6.74	0.05	0
43	0	135	378	5.45	4.29	0
43	1	68	277	6.37	5.09	0
43	2	149	472	8.24	2.83	0
43	3	352	177	6.17	3.82	0
43	4	375	426	7.87	1.36	0
43	5	89	415	8.36	2.01	0
43	6	149	305	5.79	1.65	0
43	7	110	273	6.93	5.71	0
43	8	147	139	7.59	3.71	0
43	9	339	192	6.74	0.05	0
44	0	133	373	5.45	4.29	0
44	1	70	271	6.37	5.09	0
44	2	142	475	8.24	2.83	0
44	3	347	174	6.17	3.82	0
44	4	375	426	7.87	1.36	0
44	5	86	423	8.36	2.01	0
44	6	149	311	5.79	1.65	0
44	7	116	270	6.93	5.71	0
44	8	140	135	7.59	3.71	0
44	9	345	192	6.74	0.05	0
45	0	131	368	5.45	4.29	0
45	1	72	265	6.37	5.09	0
45	2	134	477	8.24	2.83	0
45	3	343	170	6.17	3.82	0
45	4	372	421	5.19	4.13	0
45	5	82	430	8.36	2.01	0
45	6	148	317	5.79	1.65	0
45	7	121	266	6.93	5.71	0
45	8	134	131	7.59	3.71	0
45	9	352	192	6.74	0.05	0
46	0	129	363	5.45	4.29	0
46	1	75	259	6.37	5.09	0
46	2	126	480	8.24	2.83	0
46	3	338	166	6.17	3.82	0
46	4	369	417	5.19	4.13	0
46	5	79	438	8.36	2.01	0
46	6	148	322	5.79	1.65	0
46	7	127	262	6.93	5.71	0
46	8	128	127	7.59	3.71	0
46	9	359	193	6.74	0.05	0
47	0	126	358	5.45	4.29	0
47	1	77	253	6.37	5.09	0
47	2	118	483	8.24	2.83	0
47	3	333	162	6.17	3.82	0
47	4	366	413	5.19	4.13	0
47	5	75	445	8.36	2.01	0
47	6	147	328	5.79	1.65	0
47	7	133	258	6.93	5.71	0
47	8	121	123	7.59	3.71	0
47	9	366	193	6.74	0.05	0
48	0	124	353	5.45	4.29	0
48	1	79	248	6.37	5.09	0
48	2	110	485	8.24	2.83	0
48	3	328	158	6.17	3.82	0
48	4	363	408	5.19	4.13	0
48	5	74	447	8.36	2.01	0
48	6	147	334	5.79	1.65	0
48	7	139	254	6.93	5.71	0
48	8	115	119	7.59	3.71	0
48	9	372	193	6.74	0.05	0
49	0	122	348	5.45	4.29	0
49	1	82	242	6.37	5.09	0
49	2	102	488	8.24	2.83	0
49	3	324	154	6.17	3.82	0
49	4	361	404	5.19	4.13	0
49	5	74	447	8.36	2.01	0
49	6	147	340	5.79	1.65	0
49	7	145	251	6.93	5.71	0
49	8	108	114	7.59	3.71	0
49	9	379	194	6.74	0.05	0
50	0	120	343	5.45	4.29	0
50	1	84	236	6.37	5.09	0
50	2	94	490	8.24	2.83	0
50	3	319	150	6.17	3.82	0
50	4	358	400	5.19	4.13	0
50	5	74	447	8.36	2.01	0
50	6	146	345	5.79	1.65	0
